#,Name,Contry,Vehicle,ET,MPH,Track
1,Elshan Aslanov,RU,VAZ 2110,8.1120,175.00,Racepark 
2,Thorsten Middendorf,GER,VW Golf,8.2540,173.06,Santa Pod 
3,Wendel Brand,ENG,Honda Civic,8.3460,179.25,Santa Pod 
4,Michael Holleman,NLD,Honda Civic,8.3630,161.96, Santa Pod 
5,Dimitris Panitsas,GRE,VW Golf,8.4030,167.17,Agrinio 
6,Miguel Montebello,MT,Honda Integra,8.4190,179.38,Hal-Far 
7,Renald Farrugia,MT,Mitsubishi FTO,8.4220,177.33,Hal- Far 
8,Mustafa Murtazayev,RU,VAZ2108,8.4530,163.75,Nizhny Novgorod 
9,Kiel Priestman,ENG,Honda Civic,8.5960,175.07,Santa Pod 
10,Mario Thau,GER,VW Polo,8.6900,170.28,Hockenheim 
11,Sergey Starshinov,RU,Mitsubishi Eclipse,8.7170,168.90,Grozny 
12,Laurence Grixti,MT,Honda Civic,8.7230,171.72,Hal-Far 
13,Guy Chamberlain,ENG,Honda Civic,8.7660,173.00,Santa Pod 
14,Artem Demykhov,RU,Lada Samara,8.8080,167.37,Fort Grozny 
15,Calvin Skerritt,ENG,Honda Civic,8.8100,177.15,Santa Pod 
16,Nikos Giakoumakis,GRE,Peugeot 106,8.8430,164.71,Agrinio 
17,Alexey Kremnev,RU,Honda Civic,8.8580,156.10,Nizhny Novgorod 
18,Richard Batty,ENG,Mitsubishi FTO,8.8590,174.59,SCR 
19,Steeve Durante,FRA,Honda Civic,8.8690,164.86,Santa Pod 
20,Chris Backshell,UK,Renault 5,8.8790,167.91,Santa Pod
21,Pedro Lopes,POR,Honda Civic,8.8890,173.08,Santa Pod 
22,Eljan Timmler,NLD,Opel Corsa,8.8920,161.04,Drachten 
23,Ruslan Frolov,RU,Mitsubishi Eclpise,8.9080,162.09,Grozny 
24,Christopher Muscat,MT,Toyota Starlet,8.9380,152.50,Hal-Far 
25,Dawid Lamik,POL,Opel Corsa,8.9570,163.42,Pila
26,Sasvvas Petropoulos,GRE,Opel Corsa,8.9590,160.23,Agrino
27,Ntinos Tourkoxoritis,GRE,Peugeot 106,8.9680,155.88,Thiva 
28,Björn Holmberg,SWE,Nissan Cherry,8.9900,161.01,Tierp 
29,Björn Holmberg,SWE,Nissan Juke,8.9910,152.90,Kjula Dragway 
30,Rino Gabucci,ITA,Fiat Uno,9.0800,156.64,Hockenheim 
31,Igor Kovacic,SLO,Opel Corsa (Nova),9.1110,158.41,Hockenheim 
32,George Gkitsis,GRE,Peugeot 106,9.1360,157.74,Thiva 
33,Vadim Kravchenko,RU,VAZ 2108,9.1800,150.82,Grozny 
34,Phillip Reeves,ENG,Ford Fiesta,9.1830,156.38,Santa Pod 
35,Ahmed Jamshaid,ENG,Honda Civic,9.1840,154.67,Santa Pod 
36,John Spiteri,MT,Honda Integra,9.2470,163.83,Hal-Far 
37,Paul Atkinson,ENG,Honda Civic,9.2480,163.68, Santa Pod 
38,Marvic Skocc Galea,MT,Toyota Starlet,9.2480,150.98,Hal-Far 
39,Andy Nichols,UK,Honda Civic,9.2520,154.21,Santa Pod
40,Alex Konrad,GER,VW Corrado,9.2530,161.87,Bitburg 
41,Thwmas Stefanakos,GRE,Citroen AX,9.2620,151.55, Thiva 
42,Anedrey Serdyukov,RU,Honda Civic,9.2820,161.68,Grozny  
43,Marcus Schmidt,GER,VW Golf,9.3090,167.90,Zerbst 
44,Giannis Apergis,GRE,Opel Corsa,9.3120,126.37,Agrinio 
45,Miguel Montebello,MT,Honda Civic,9.3150,156.61,Hal-Far 
46,Giannis Giannopoulos,GRE,Honda Civic,9.3280,150.32,Thiva  
47,Stephan Klasen,GER,Opel Astra,9.3610,156.25,Bitburg 
48,Kovacs Szabolcs,HUN,Ford Fiesta,9.3760,151.30,Kiskunlachaza 
49,Vladymir Tretyak,RU,VAZ 2108,9.3840,147.55,Nizhny Novgorod 
50,Andy Nicholls,ENG,Honda Integra,9.3860,164.83,Santa Pod 
51,Luke Pritchard,ENG,Honda Civic,9.3960,161.89, Santa Pod 
52,Luca Angghel,ROM,VW Golf,9.4020,152.08,Arad  
53,Allan Duthie,SCT,Vauxhall Corsa,9.4234,156.89, Santa Pod 
54,Spyros Skamnelos,GRE,Opel Corsa,9.4280,153.63,Agrinoio  
55,George Lockerby,SCT,Vauxhall Corsa,9.4360,154.72,Santa Pod 
